train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,431100.0,-0.17142857142857143,,1724400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
10000,807300.0,0.05,,3229200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
15000,1315800.0,0.6,,5263200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
20000,1825200.0,1.1,,7300800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
25000,2335800.0,-1.9047619047619047,,9343200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
30000,2837700.0,0.3064516129032258,,11350800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
35000,3356400.0,1.1746031746031746,,13425600.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
40000,3806100.0,-0.3508771929824561,,15224400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
45000,4255200.0,-0.9818181818181818,,17020800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
50000,4702500.0,1.3859649122807018,,18810000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
55000,5158800.0,-0.46551724137931033,,20635200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
60000,5558400.0,2.3,,22233600.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question
