train_steps,agent_steps,return,return_eval,env_steps,env,run
5000,576000.0,-4.385964912280702,,2304000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
10000,922500.0,-3.5294117647058822,,3690000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
15000,1521000.0,0.7142857142857143,,6084000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
20000,2118600.0,-0.14705882352941177,,8474400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
25000,2764800.0,-0.42857142857142855,,11059200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
30000,3387600.0,-1.5151515151515151,,13550400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
35000,3989400.0,-0.1388888888888889,,15957600.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
40000,4611600.0,-5.762711864406779,,18446400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
45000,5074800.0,9.591836734693878,,20299200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
50000,5505300.0,0.0,,22021200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
55000,6045600.0,2.857142857142857,,24182400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
60000,6565500.0,1.7567567567567568,,26262000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
65000,7150200.0,3.75,,28600800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
70000,7765200.0,-6.363636363636363,,31060800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
75000,8338200.0,-0.9375,,33352800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
80000,8885700.0,-0.5714285714285714,,35542800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
85000,9496200.0,-0.2631578947368421,,37984800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
90000,10117800.0,-2.3529411764705883,,40471200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
95000,10650600.0,-4.117647058823529,,42602400.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
100000,11146500.0,10.5,,44586000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
105000,11599800.0,3.75,,46399200.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
110000,12132000.0,-0.8571428571428571,,48528000.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
115000,12517200.0,2.142857142857143,,50068800.0,dmlab_language_answer_quantitative_question,dmlab_language_answer_quantitative_question_0
